,smlmitzrach,protein,total_fat,carbohydrates,lable
0,11825010,0.75999999,0.090000004,5.119999886,-1
1,56207228,5.254734039,1.731351376,15.27007294,-1
2,11000000,1.029999971,4.380000114,6.889999866,-1
3,11111009,3.299999952,3.0,4.599999905,-1
4,11111029,3.0,1.0,4.599999905,-1
5,11111059,3.200000048,3.0,4.599999905,-1
6,11111069,3.0,3.0,4.699999809,-1
7,11112219,3.299999952,1.0,5.099999905,-1
8,11113009,2.5,3.0,12.0,-1
9,11114339,3.200000048,2.0,4.900000095,-1
10,11116000,3.56,4.14,4.45,-1
11,11116009,3.0,3.700000048,4.699999809,-1
12,11116010,6.0,7.0,5.400000095,-1
13,11116020,3.099999905,3.0,4.699999809,-1
14,11121100,3.24000001,3.289999962,4.730000019,-1
15,11122300,35.09999847,0.720000029,52.18999863,-1
16,11122310,11.72999954,0.540000021,73.44999695,-1
17,11220100,7.91,8.7,54.4,-1
18,11411109,3.299999952,4.5,3.5,-1
19,11411119,4.400000095,3.0,4.599999905,-1
20,11411149,3.599999905,1.5,5.0,-1
21,11411219,4.0,3.0,7.0,-1
22,11411229,2.900000095,1.899999976,17.39999962,-1
23,11411249,5.2,3.0,4.5,-1
24,11411279,3.799999952,3.0,18.20000076,-1
25,11411289,4.800000191,0.0,4.900000095,-1
26,11411299,4.900000095,1.5,5.0,-1
27,11411319,4.199999809,0.0,5.0,-1
28,11411329,3.700000048,1.5,16.0,-1
29,11411339,5.5,0.0,3.700000048,-1
30,11411349,2.900000095,3.5,4.5,-1
31,11411359,3.799999952,5.0,4.0,-1
32,11411399,2.900000095,0.200000003,5.099999905,-1
33,11411409,4.699999809,3.0,4.699999809,-1
34,11411419,2.900000095,1.799999952,17.0,-1
35,11411459,3.9,0.0,5.5,-1
36,11411469,3.494400024,3.900000095,6.300000191,-1
37,11411479,3.2,0.1,6.5,-1
38,11411489,3.099999905,1.5,17.20000076,-1
39,11411529,5.599999905,2.700000048,13.5,-1
40,11411689,5.400000095,1.700000048,6.5,-1
41,11411699,3.599999905,7.0,3.5,-1
42,11412109,3.299999952,4.5,4.199999809,-1
43,11412119,3.599999905,4.0,5.0,-1
44,11412129,4.5,3.0,4.300000191,-1
45,11412139,4.0,3.0,16.70000076,-1
46,11412149,3.0,3.0,4.0,-1
47,11412179,3.599999905,3.0,16.89999962,-1
48,11412199,5.599999905,5.0,9.899999619,-1
49,11412209,3.049999952,3.0,3.849999905,-1
50,11412228,2.183430433,2.610141277,2.183430433,-1
51,11412229,4.599999905,4.0,16.20000076,-1
52,11412238,2.060072184,2.166847467,3.587172508,-1
53,11412239,3.599999905,3.5,3.700000048,-1
54,11412269,4.5,1.5,4.199999809,-1
55,11413409,2.900000095,3.0,12.60000038,-1
56,11431029,4.4,0.0,4.4,-1
57,11431169,4.5,5.0,15.60000038,-1
58,11433019,4.800000191,0.200000003,4.800000191,-1
59,11433059,4.0,3.0,15.30000019,-1
60,11433079,5.1,1.5,3.7,-1
