code,smlmitzrach,shmmitzrach,ofen_hachana,ofen_hachanat_makor,makor,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_saturated,poly_ saturated,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,mishtamesh_id,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,kvutza_meyuhedet,shem_mitzrach_mekutzar,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose
5,11825010,"מי גבינה, חומצי, נוזלי",,,1,0.75999999,0.090000004,5.119999886,24,0,93.41999817,0,103,0.079999998,10,78,143,48,0.430000007,0.003,7,0,0,0.100000001,0.041999999,0.140000001,0.079000004,0.041999999,2,0,0.180000007,1,0.057,0.004,0.001,0.001,0.002,0.001,0.008,0.025,0.01,0.018999999,0.003,0,0,0,0.004,0,0,0,0,0,0.025,0.004,,5.12,,2,13,0.038,0.072,0.038,0.065,0.038,0.014,0.025,0.016,0.015,0.019,0.021,0.014,0.035,,,0,0.381,,1.8,,16,,0.002,
10,56207228,"בורגול, מבושל עם שעועית לבנה ועגבניות",,,4,5.254734039,1.731351376,15.27007294,112.2690506,0,70.66042328,5.083417892,39.71782303,1.535481334,45.24497986,78.48911285,295.7700806,141.1714478,0.730220795,0.146844149,0.940424502,139.5965729,0.409579843,4.240276814,0.07784979,0.022406433,0.932687104,0.104610465,53.28452682,0,0,0,0.252494395,0,0,0.001852983,0,0,0.000279644,0.21775198,0.032605715,1.011033654,0.259499073,0.038574625,0,0,0.018360144,0,0.004221815,0,0,0,1.035326123,0.298079133,0,0.968709648,,12.99938869,12,0.212350503,0.382709563,0.252649158,0.277310789,0.194305301,0.077298582,0.264908701,0.067015544,0.134441048,0.14594312,0.28733182,0.078380503,0.265679747,,,4.468626976,0.267044038,,2.072840452,,14.97315216,,0.695157766,0.446344912
14,11000000,חלב אם,,,1,1.029999971,4.380000114,6.889999866,70,0,87.5,0,32,0.029999999,3,14,51,17,0.170000002,0.052000001,,7,0.079999998,5,0.014,0.035999998,0.177000001,0.011,5,5,0.050000001,14,2.009000063,0,0,0,0.063000001,0.256000012,0.32100001,0.91900003,0.293000013,1.475000024,0.374000013,0.052000001,0.026000001,0,0.128999993,0,0.039999999,0,0,0,1.657999992,0.497000009,0.1,6.89,,61,1,0.056,0.095,0.063,0.068,0.046,0.021,0.046,0.017,0.023,0.053,0.043,0.019,0.043,,,0.3,0.223,,1.8,,16,,0.026,
15,11111009,"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה",,,3,3.299999952,3,4.599999905,60,0,87.09999847,0,100,0.029999999,9.937000275,83.47200012,131.1699982,50,0.368000001,0.025,149.5379944,6.461999893,0.064999998,0,0.046,0.167999998,0.088,0.035999998,4.968999863,5.041518211,0.446999997,9,1.799999952,0.068999998,0.068999998,0.068999998,0.068999998,0.071000002,0.273999989,0.764999986,0.337000012,0.75,0.111000001,0.068999998,0,0,0,0,0,0,0,0,0.75,0.180000007,1.2,4.6,,25.84615385,13,0.171,0.313,0.216,0.277,0.14,0.087,0.171,0.042,0.1,0.167,0.094,0.02,0.199,,,0.277,0.371,,3.677,,14.21,,0.004,0
17,11111029,"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ",,,3,3,1,4.599999905,42,,87.69999695,1.700000048,180,0.027000001,10,86.36399841,136.3639984,40,0.381999999,0.009,202.0619965,2.062000036,0.01,0,0.017999999,0.167999998,0.085000001,0.034000002,4.545000076,5.076838493,0.426999986,4,0.652999997,0.025,0.018999999,0.013,0.028000001,0.029999999,0.093999997,0.296000004,0.129999995,0.257999986,0.030999999,0.004,0,0,0.017999999,0,0,0,0,0,0.286000013,0.035999998,0.8,4.6,,4,1,0.155,0.284,0.196,0.251,0.127,0.078,0.155,,0.09,0.151,0.085,0.018,0.181,,,0.103,0.328,,3,,16.091,,0.003,0
19,11111059,"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה",,,3,3.200000048,3,4.599999905,58,0,85.69999695,1.5,180,0.028999999,9.81099987,82.41500092,129.5090027,40,0.363000005,0.025,149.5379944,6.461999893,0.064999998,0,0.045000002,0.165999994,0.086999997,0.035,4.906000137,6.109134197,0.442000002,10.5,1.799999952,0.068999998,0.068999998,0.068999998,0.068999998,0.071000002,0.273999989,0.764999986,0.337000012,0.75,0.111000001,0.068999998,0,0,0,0,0,0,0,0,0.75,0.180000007,1.2,4.6,,25.84615385,1,0.166,0.304,0.209,0.268,0.136,0.084,0.166,0.04,0.097,0.162,0.091,0.019,0.193,,,0.277,0.366,,3.63,,14.03,,0.004,0
20,11111069,"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה",,,3,3,3,4.699999809,57,0,86.30000305,1,100,0.028999999,9.68599987,81.35800171,127.848999,40,0.35800001,0.024,149.5379944,6.461999893,1,0,0.045000002,0.164000005,0.086000003,0.035,4.842999935,5.753262043,0.43599999,11,1.799999952,0.068999998,0.068999998,0.068999998,0.068999998,0.071000002,0.273999989,0.764999986,0.337000012,0.75,0.111000001,0.068999998,0,0,0,0,0,0,0,0,0.75,0.180000007,0.7,4.7,,25.84615385,1,0.155,0.285,0.196,0.251,0.128,0.079,0.155,0.04,0.09,0.151,0.086,0.018,0.181,,,0.277,0.361,,3.584,,13.85,,0.004,0
25,11112219,"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה",,,3,3.299999952,1,5.099999905,43,0,88.59999847,0,100,0.029999999,11.05300045,95.45500183,150.7180023,50,0.421999991,0.01,202.0619965,2.062000036,0.01,0,0.02,0.186000004,0.093000002,0.037,5.024000168,4.868276596,0.472000003,3,0.600000024,0.025,0.018999999,0.013,0.028000001,0.029999999,0.093999997,0.296000004,0.129999995,0.257999986,0.030999999,0.004,0,0,0.017999999,0,0,0,0,0,0.286000013,0.035999998,1.237,5.1,,63.97938144,1,0.17,0.312,0.215,0.276,0.14,0.086,0.17,0.043,0.099,0.166,0.094,0.02,0.199,,,0.103,0.363,,3.316,,17.785,,0.003,0
29,11113009,"משקה חלב בטעם וניל,3% שומן, טרה",,,3,2.5,3,12,85.80000305,0,80,0,109.6480026,0.254999995,12.28800011,97.36000061,160.6909943,46,0.388000011,0.061000001,588,6,0.059999999,0.851000011,0.035999998,0.157000005,0.119999997,0.039000001,4.725999832,4.858934402,0.301999986,9,1.700000048,0.071999997,0.041999999,0.024,0.057,0.063000001,0.224999994,0.782999992,0.527999997,0.813000023,0.071999997,0.033,0,0,0.054000001,0,0,0,0,0,0.899999976,0.104999997,3.3,9.9,,26,1,0.13,0.237,0.164,0.209,0.106,0.066,0.13,,0.076,0.127,0.072,0.015,0.15,,,0.3,0.285,22,1.796,,16.069,,0.073,
31,11114339,"חלב 2% שומן, כולל דל לקטוז, תנובה",,,3,3.200000048,2,4.900000095,51,0,88.5,0,100,0.029999999,9.75,81.93000031,128.6999969,44,0.360000014,0.02,243,10.5,0.109999999,0,0.050000001,0.170000002,0.089885056,0.037126437,4.885057449,4.885057449,0.439999998,6,1.200000048,0.109999999,0.109999999,0.109999999,0.119999997,0.449999988,1.24000001,0.550000012,1.220000029,0.180000007,0.109999999,0,0,0,0,0,0,0,0,0,1.220000029,0.289999992,0.95,4.6,0,69,1,0.17,0.31,0.21,0.27,0.14,0.09,0.17,0.04,0.1,0.16,0.09,0.02,0.2,,,0.45,0.36,,3.61,,13.9,,0,
